mtPC1,mtPC2,mtPC3,data...6.
-2.16824,2.73697,0.328122,H16a1
-2.08005,-20.4519,1.29661,T2f1a1
-2.27223,2.7769,0.214609,H2a2a1
3.10639,0.472105,-4.34427,X2b8
-4.77704,-5.43549,3.34777,J1c3g
-2.6328,2.96879,0.118306,H2a2a1
-4.90722,-6.38884,0.785209,J1c3b2
0.0381152,2.14201,0.655238,H2a2a1
-0.240159,-6.68879,2.87622,J2b1
-4.75888,-6.42493,2.80519,J1c3b1a
3.32788,0.378266,-4.25187,X2b+226
-0.900065,5.0997,2.55567,U4a
-2.87504,3.07137,-1.17527,H1e1a
-2.87368,3.04952,-1.06742,H2a2a1
-2.71017,2.29307,0.565916,H5b2
3.30998,0.400326,-4.36282,X2b8
-1.39713,7.45452,3.99086,U5b2c2b
-6.03668,-20.1662,1.88989,T2b23a
-1.46165,7.31086,3.95097,U5b2c2b
-4.05762,-6.89579,3.15943,J1c2e1
-2.38476,3.17941,0.286431,H3a1a
-5.62162,-20.5324,2.16718,T1a1+@152
-4.84468,-5.9309,2.77049,J1c5
0.102958,7.4518,5.97148,K1a4g
-1.33218,7.71486,3.6799,U5b2c2b
-1.92149,3.8354,0.933934,H2a2a1
6.2855,-0.278438,-17.6342,I2c
-2.55366,2.96381,-1.13288,H2a2a1
-2.60542,3.18579,0.428079,H2a2a1
-2.78127,3.45602,0.412813,H2a2a1f
-1.21322,6.10022,5.41815,K2b1a3
-1.07545,1.62754,0.521249,H3k1a
5.40198,-0.282157,-4.0301,X2b4
-1.85971,3.37149,0.400549,H2a2a2
0.164713,3.60573,3.28959,U5a2a1d
-2.86321,3.20339,0.350057,H26a1a1
-9.40168,-25.9543,2.73711,T2b
-0.0525104,2.40832,0.54936,H2a2a1
-2.21809,3.42726,0.0917858,H2a2a1
-1.14652,4.87658,-2.44539,H4a1a4b
-3.3293,5.30149,-2.81521,H4a1a4b
-6.52058,-19.7887,1.94772,T2b19b
-0.36512,5.26337,2.93549,U5a1b
-2.08846,2.73356,-0.240497,H2a2a1
-1.55257,6.56294,1.73147,U5a1a1g
6.03257,1.26258,2.58847,U5a2a1
1.34497,-0.735685,-46.311,W5a2
-2.16219,2.80329,0.348416,H24a
-2.41244,3.2529,0.341472,H1c1
-1.12852,2.35891,-1.24114,H2a2a1
5.09311,-0.0885431,-15.4811,I4a2
0.413943,5.4369,3.01118,U4b1b2
-3.06033,2.31614,0.450922,H2a2a1
-2.84658,2.85941,-1.24775,H1e2
-2.08643,2.64133,0.47433,H2a2a1
32.4372,-5.38023,2.95734,U5a2b2
-2.15297,2.82806,0.886639,V1a1a
-0.796027,6.69429,3.7774,U5b1b2
-0.82189,7.03455,3.524,U5b1b2
-1.62533,3.68443,1.93012,U8a1a1b1
0.607085,6.19969,5.38639,K1c1c
-3.47947,3.50722,0.444597,H13a1a1d1
-2.05166,3.52282,0.680866,H2a2a1
-2.64676,2.74925,0.256015,H2a2a1
0.27823,5.30046,2.54907,U4d1a1
-2.70069,2.87974,0.239013,H2a2a1
-2.50047,2.84276,-0.697489,H45a
0.0699034,6.40452,5.3574,K1c1c
-0.731815,5.42672,2.3526,U4d1a1
-0.763531,7.12174,4.06173,U5b1b2a
-0.620015,7.11066,4.12156,U5b1b1a
-2.50262,3.34405,0.683774,H1f1
-2.2555,2.30785,0.0174728,H2a2a1f
1.79474,-1.34829,-50.1898,W5a1a
-2.42436,2.7491,0.428851,H1
-2.68168,3.38291,-0.00650807,H2a2a1
-7.51672,-21.9376,2.25387,T2a1a2
-0.788762,-5.65711,2.42383,J1c2t
-0.704819,5.42771,4.74506,K2a3
-1.6036,2.58871,0.0873962,H3b4a
-0.554819,6.2333,3.29582,U5b1c1a1
-2.65968,2.3372,0.331594,H3z
-0.536913,6.21124,3.40677,U5b1c1a1
-1.16931,6.35103,1.86028,U5b2a1b
-0.867724,6.43855,4.84104,K2b1a2
3.15254,0.737651,-4.3236,X2b5
-2.43129,3.23927,0.183721,H3g1b
-9.34866,-26.0108,2.56737,T2b5
-0.818651,5.86461,2.73647,U4b1a2a
-1.88902,2.68408,0.596562,H2a2a1
-2.74153,3.15261,0.129541,H2a2a1
7.1805,0.00980936,-14.9453,I1a1b
-3.17023,2.84278,0.516962,H5a8
-0.742727,6.3036,3.28369,U4b1a2b
-2.61982,2.05014,0.116909,H5b2
-5.33169,-5.75889,2.79883,J1c8a
-4.51959,-5.99103,2.50297,J1c2q
-8.844,-25.6515,2.75042,T2b4
-0.727936,6.33687,3.46594,U5b2a2c
-5.14492,-6.79539,3.46308,J1c2c3
-0.41283,-19.791,2.66014,T2b13
-2.06154,2.70232,1.36351,U8a1b
-2.40005,2.83608,-0.108903,H5s
-9.39589,-26.021,2.38235,T2b19
-1.88096,3.12108,0.700502,H1f1
-0.565633,5.9662,2.0252,U4a
-1.59548,3.97433,2.68936,U5a2a1a
-2.09167,2.52237,0.395948,H2a2a1
-0.944733,7.39827,3.826,U5b1b2a
40.3154,-8.2725,2.82153,H1c3b
-0.763531,7.12174,4.06173,U5b1b2a
-0.745625,7.09968,4.17267,U5b1b2a
-0.778121,6.67223,3.88834,U5b1b2
-4.95095,-6.48077,2.81707,J1c2n1
-0.72368,7.32596,4.12614,U5b1b1a1a
-0.928679,2.66001,0.757968,H2a2a1
2.81014,0.582511,-3.56451,X2c1
-1.61075,5.04572,2.57876,U5a1a1h
-3.08788,3.18848,0.750817,V1a1a
-1.46176,7.0268,3.07457,U5b2a1a1d
-0.803984,7.01249,3.63495,U5b1b2
0.730656,5.98204,3.05212,U5a1b1h
-0.516833,3.74285,2.63656,U5a2a1a
-2.76646,3.58248,0.531173,H2a1a
47.3636,-9.97869,3.86404,U5a'b
1.06367,-0.703594,-37.8168,W1a
-3.36875,3.2498,0.585632,H2a2a1f
-2.46417,2.57775,0.319164,H1a2
43.7423,-8.49847,3.68199,U5a'b
-2.41814,3.32591,0.671516,H1f1
-5.20482,-6.7503,0.684422,J1b1a1
-2.00052,2.77626,0.164103,H2a2a1
-3.55991,4.51345,-0.373721,H6a1a3
-0.775354,7.04693,4.13923,U5b1b1a
-0.583539,5.98826,1.91425,U4a
-3.35084,2.24805,0.277481,V1a1a
-3.47947,3.50722,0.444597,H13a1a1d1
-2.58479,4.56698,0.142314,H4a1a1
-0.0388181,6.50651,5.30401,K1c1c
-2.79335,2.95476,0.560675,H2a2a1
-1.8918,2.67427,0.217494,H2a2a1
5.55424,-0.430257,-17.912,I2a1a
-0.796027,6.69429,3.7774,U5b1b2
-0.159901,7.2904,3.35697,K1a4a1a2b
-3.98435,-6.97563,3.33345,J1c2c2
-5.07266,-6.50774,0.811,J1c3+189
-2.48288,3.15502,0.469623,H1f1
1.14372,-0.70004,-42.2282,W6a
-8.82629,-24.899,2.70409,T2b4
-4.71806,-6.05495,2.93482,J1c1d
0.319729,5.26538,2.49004,U4d1a1
-0.771488,7.43995,3.91928,U5b1b2a
-2.64676,2.74925,0.256015,H1a8
-3.45119,4.41147,-0.320331,H6a1a3
-7.87143,-20.2643,2.47633,T2e1
-3.10768,2.85994,0.608676,V1a1a
-1.01495,7.46938,5.79909,K1a2a2
1.81477,6.7618,5.71359,K1a4a1f
-1.8636,2.85131,-2.38813,W5a
3.46354,3.22732,3.31519,U5a2a1e
-0.247688,3.31963,0.412794,H2a2a1f
-1.26427,-5.34519,2.26142,J1c2b5
-8.51896,-24.4136,2.47111,T2b4
9.28433,3.6392,4.19929,U5b1b2a
2.7029,6.47237,4.52196,U5b1b1a
-2.61112,3.64622,0.513502,H2a1
16.7005,-2.68684,1.90302,H2a2a1
-2.36276,2.77197,0.284492,H1q1
-0.771488,7.43995,3.91928,U5b1b2a
-2.79319,3.28915,0.432759,H1c
0.718379,2.19635,1.0347,H5a1e
42.7211,-8.1101,3.83053,H2a2a1
17.777,-0.874069,3.35531,U5b
31.9865,-6.23921,-4.98206,I1a1a
16.785,-2.76355,-0.381641,X2c
43.8173,-9.12068,4.02186,J2a1a1a
41.1599,-8.48112,2.96851,U5a'b
-4.79561,-6.41704,2.7994,J1c2n1
-0.602109,7.0886,4.23251,U5b1b1a
-2.64676,2.74925,0.256015,H1a2
47.2575,-8.91857,4.19586,U5b
23.8502,-4.18765,3.11619,H1a8
-2.30883,2.64149,0.301494,H1a2
-0.928679,2.66001,0.757968,H2a2a1
-1.81356,2.77149,0.230765,H2a2a1
35.604,-5.07515,4.32697,U5b1b1a
-0.335505,5.26823,4.06884,K2a11
-2.01406,2.96685,0.346828,H3c
-2.83623,3.14455,0.398825,H1bw
-2.5804,2.60462,0.524903,H2a2a1
-2.68279,2.85768,0.34996,H2a2a1
-1.87103,3.21866,-1.48661,H2a2a1f
-2.68279,2.85768,0.34996,H2a2a1
-2.21015,2.46847,0.467118,H2a2a1
-3.09664,4.28638,0.685335,H13a1a1
-4.35851,-7.83451,2.54788,J1c2e2
-2.78149,2.84628,0.54441,H1j2a
-1.77978,3.29658,-1.54628,H2a2a1f
-1.34371,2.62257,0.411041,H2a2a1
-4.75699,-6.07432,2.83638,J1c3c
-0.864562,2.99948,0.683031,H2a2a1
-2.39212,3.06078,0.449078,H1cd
-2.07146,2.02801,-0.427669,H2a2a1
-1.18452,7.208,4.0911,U5b2a6
-1.80731,2.70992,0.270426,H2a2a1
5.46796,-0.319323,-16.6237,I2
-2.36276,2.77197,0.284492,H1ah
-1.53875,4.16108,1.60741,U5a2+16294
-0.24041,7.52359,5.98454,K1a4a1e
0.348818,7.61371,4.30192,K1a4
-4.96853,-6.97663,2.46234,J1c3f
0.22204,6.24027,2.41953,U5a1h
-0.833083,7.35656,5.5612,K1a4a1e
