Affx-92047866A	Affx-92047866A.1	Affx-92047866B	Affx-92047866B.1
1830.65	2195.04	2391.2	8501.2
1488.69	1970.87	1866.58	5655.16
1212.93	1724.12	1663.89	6085.35
1418.8	1657.43	2117.8	7024.32
1337.68	1717.17	1713.57	8526.96
1409.34	1973.23	1861.68	5943.95
1420.02	1565.86	1869.82	5225.59
1413.99	1966.96	1590.71	8235.52
1349.83	1745.93	1678.0	6083.33
1482.45	1920.11	1847.15	7110.08
1582.55	1893.17	2189.29	7993.17
1536.05	1781.14	2147.03	8042.01
1311.07	1683.33	1607.93	7567.33
1397.47	1698.83	1879.49	5732.89
1322.9	1827.79	1764.24	6364.0
1374.46	1698.91	2150.11	8430.58
1278.03	1992.51	1640.04	7408.81
1544.2	1891.97	1645.44	5729.88
1428.36	1700.31	1758.81	8471.78
1356.7	2986.78	1676.9	1400.68
1447.19	1755.72	2031.82	7191.13
1490.38	1941.57	1535.71	6302.02
1411.52	1922.6	1830.7	7560.5
1624.96	2374.64	2500.38	7582.96
1330.66	1945.4	2037.53	8344.66
1447.57	1753.55	2099.05	7885.22
1363.58	1862.99	2001.11	6504.85
1388.31	1659.6	1683.4	6175.35
1358.78	1771.56	1932.23	8263.8
1264.27	1745.18	1838.36	6496.91
1314.2	1912.93	1673.08	6846.07
1321.52	1612.23	1749.69	6719.33
1277.77	1785.27	1894.87	7269.77
1420.21	1783.2	1540.56	6573.95
1405.58	1649.43	1470.43	6925.13
1548.15	1803.47	2306.96	8063.67
1348.75	2073.32	2006.54	9800.77
1435.93	1569.62	1949.67	7333.68
1403.7	1805.27	2068.18	8160.85
1446.31	1836.2	1827.37	8439.28
1301.5	1628.26	1964.97	7189.94
1284.16	2022.66	1893.82	6851.95
1389.54	1687.64	1748.88	5625.05
1213.81	1559.72	1560.7	6359.1
1387.26	1865.86	1636.22	5447.58
1456.8	1829.52	1820.82	6684.22
1259.77	1678.91	1429.85	6555.09
1545.14	1739.0	2636.36	7395.58
1318.09	1759.06	2109.14	8139.24
1264.89	1861.49	2063.45	6691.36
1493.4	1942.91	2103.43	8430.39
1438.62	1859.72	1416.89	6694.08
1246.1	2032.4	1833.23	9182.87
1280.45	1728.3	1538.35	7003.24
1312.05	1806.25	1687.74	7716.78
1175.59	1726.36	1361.36	6281.51
1177.18	1883.71	1760.07	7380.24
1255.33	1844.27	1775.42	5998.27
1496.21	1890.24	2436.63	9604.9
1484.44	2008.86	2523.81	7215.56
1418.96	1657.66	2205.47	7999.26
1374.28	1699.17	1498.52	8235.28
1406.56	1707.83	1777.32	7562.36
1368.16	1575.42	1840.17	7840.65
1390.17	1931.48	1730.02	6188.95
1417.71	1729.68	1997.78	7952.54
1274.57	1653.43	1920.17	7481.15
1539.81	1719.73	1805.69	7695.45
1608.37	1733.31	1788.91	6856.7
1470.3	1752.41	1689.68	7365.18
1961.11	1968.49	2639.89	9387.78
1707.58	1889.63	1810.25	6907.55
1513.06	1788.08	1891.32	7881.15
1451.12	1811.23	2100.29	9125.87
1404.63	1753.55	1799.19	7082.52
1341.88	1843.1	1798.98	6128.08
1501.66	2085.6	1704.71	8791.98
1464.87	1774.56	1807.66	6291.75
1267.15	2003.36	1579.54	7190.83
1380.41	1777.54	1532.2	7072.76
1287.62	1833.05	2107.04	8276.19
1630.94	2212.07	2456.47	8442.29
1403.86	1697.41	1853.85	6618.53
1587.77	1747.84	1472.68	5758.34
1415.04	1827.43	1789.08	8005.84
1417.22	1791.16	1938.26	7162.18
1347.24	1812.29	1775.88	6661.62
1638.74	1624.79	1758.62	5329.65
1254.47	1891.08	1740.51	6560.03
1469.25	1892.45	1942.92	5965.54
1194.26	1749.54	1730.1	6895.85
1395.53	1825.22	1666.83	6567.72
1452.63	1711.97	2173.97	8706.14
1161.69	1834.03	1274.56	8973.03
949.35	1498.99	1097.04	9379.1
1097.36	1886.61	1296.83	7425.66
1061.5	1995.56	1285.47	7371.1
1098.64	1586.71	1331.07	9933.16
1399.67	2027.79	1977.28	10888.28
1246.01	1980.2	1538.05	8698.07
1286.66	1900.21	1505.44	7204.52
1182.56	1813.94	1399.14	5372.13
1176.85	1812.49	1292.07	6288.53
1118.55	1610.07	1199.79	7859.59
963.13	1867.63	1339.43	7113.42
1074.54	1709.18	1143.66	5751.94
1197.54	1751.52	1154.42	8599.7
1248.94	1612.05	1416.59	5021.98
1177.81	1630.78	1371.72	6768.99
1183.7	1751.35	1417.0	7868.68
1002.75	1674.14	1057.04	5942.5
1248.59	1941.54	1611.22	10721.85
1412.11	1825.01	1404.43	9052.11
1250.3	1781.08	1495.76	7255.35
1312.29	1973.73	1430.34	6057.86
1209.29	1810.62	1430.65	6688.98
1308.38	1951.55	1449.32	7138.28
1180.75	2030.65	1517.62	6536.96
1210.11	1796.93	1332.59	5419.9
1117.24	1799.72	1234.36	5925.83
1357.14	2067.2	1696.0	5913.63
1063.39	1658.39	1327.51	8242.89
1402.18	2077.23	1962.02	16108.71
1296.09	1890.1	1475.37	11284.32
1291.28	2051.78	1494.23	9874.28
1333.55	2094.54	1576.07	9047.26
1198.58	1621.94	1222.58	6487.97
1204.33	1940.35	1205.69	7288.39
1188.18	1505.06	1416.03	9071.9
1117.39	1669.19	1233.93	8644.18
1143.82	1878.46	1137.79	6726.01
1021.15	1747.77	1295.93	6070.91
1240.49	1699.82	1476.38	8383.01
1220.29	2535.28	1180.15	1258.41
1251.45	2249.81	1141.55	9282.14
1388.69	1930.07	1319.26	8016.85
1112.34	2015.72	1377.47	9602.04
1240.33	1879.71	1314.21	7154.57
1115.72	1559.8	1380.58	6799.83
1290.96	1839.55	1275.77	7275.76
1164.73	1648.4	1374.55	7027.74
1124.53	1627.98	1155.77	7952.55
1183.84	1843.39	1436.97	5265.71
1246.11	1722.83	1679.87	6393.65
1310.37	1767.44	1395.03	8121.12
1416.47	1619.44	1052.52	12724.91
1205.79	2080.11	1390.72	9860.58
1216.94	1951.84	1331.53	8303.82
1133.19	1565.0	1580.23	8173.59
1243.96	2025.18	1448.14	9939.64
1162.39	1719.08	1225.75	8316.78
1064.67	3275.26	1438.7	1341.65
1171.11	1631.99	1275.26	8874.22
1017.31	1655.72	1165.74	10414.84
1223.4	1456.65	1282.26	4766.5
1312.39	1858.74	1523.33	8672.54
1178.09	1686.49	1576.56	10554.85
840.11	1871.4	1146.81	10991.65
1122.34	2352.49	1316.45	6965.23
1168.49	1630.5	1414.7	9044.0
1148.44	1787.9	1450.29	6907.97
1276.43	1667.22	1556.07	8513.13
1273.15	1815.3	1631.3	7138.65
1302.53	1833.09	1588.52	7895.5
1076.24	1680.88	1319.89	7377.9
1166.73	1523.7	1349.01	5848.23
1109.58	1640.73	1123.59	8525.16
1177.22	1513.97	1203.17	7996.39
1227.5	1594.59	1725.84	7280.64
1178.43	1640.49	1829.47	9063.63
1200.03	1705.32	1220.28	7877.12
1046.17	1492.07	1341.75	8189.49
1168.19	1606.87	1500.06	8010.84
1185.41	1787.92	1748.96	6745.9
1272.7	1878.97	1553.19	8091.95
