Locus	Start_x	End_x	Start_y	End_y	Genomic_annotation
DLOOP	73	576	0	1	non-coding
	577	647	0	1	tRNA
RNR1	648	1601	0	1	rRNA
	1602	1670	0	1	tRNA
RNR2	1671	3229	0	1	rRNA
	3230	3304	0	1	tRNA
ND1	3307	4262	0	1	coding
	4263	4400	0	1	tRNA
	4402	4469	0	1	tRNA
ND2	4470	5511	0	1	coding
	5512	5579	0	1	tRNA
	5587	5655	0	1	tRNA
	5657	5729	0	1	tRNA
	5761	5891	0	1	tRNA
CO1	5904	7445	0	1	coding
	7446	7514	0	1	tRNA
	7518	7585	0	1	tRNA
CO2	7586	8269	0	1	coding
	8295	8364	0	1	tRNA
ATP8	8366	8526	0	1	coding
	8527	8572	0	1	coding
ATP6	8573	9206	0	1	coding
	9207	9207	0	1	coding
CO3	9208	9990	0	1	coding
	9991	10058	0	1	tRNA
ND3	10059	10404	0	1	coding
	10405	10469	0	1	tRNA
ND4L	10470	10759	0	1	coding
	10760	10766	0	1	coding
ND4	10767	12137	0	1	coding
	12138	12206	0	1	tRNA
	12207	12265	0	1	tRNA
	12266	12336	0	1	tRNA
ND5	12337	14148	0	1	coding
ND6	14149	14673	0	1	coding
	14674	14742	0	1	tRNA
CYB	14747	15887	0	1	coding
	15888	15953	0	1	tRNA
	15956	16023	0	1	tRNA
DLOOP	16024	16526	0	1	non-coding
